title,description
Prefeitura apresenta ações para a Operação Chuvas de Verão,Plano para minimizar impactos das chuvas prevê a remoção de 18 mil árvores¢ limpeza semanal de 5¢1 mil bocas de lobo¢ revitalização de 1.995 cruzamentos semafóricos até dezembro e obras de microdrenagem em 35 pontos de alagamento até abril. Novo port
Novos cartões do Bilhete Único Mensal são entregues a partir desta terça-feira,Pessoas cadastradas no site da SPTrans até 18 de novembro retirarão os novos bilhetes a partir de hoje (26). Nova modalidade de tarifa entra em operação no dia 30 de novembro
Conferência municipal debate políticas para imigrantes,1ª Conferência Municipal de Políticas para Imigrantes começa nesta sexta-feira e terá transmissão ao vivo pela internet
Projeto Frente Segura ganha mais de 130 novos bolsões,Até o fim do ano cidade ganhará 59 novos espaços reservados para motos e bicicletas nas avenidas Antártica¢ Sumaré¢ Paulo VI¢ Tiradentes e Nove de Julho. Cidade já conta com 77 locais
Arquivo Histórico da Prefeitura irá restaurar registros da época da Ditadura Militar,Restauro dos livros deve ser concluído no primeiro semestre de 2014. A solicitação partiu da Comissão Nacional da Verdade¢ que pretende descobrir se houve o sepultamento de desaparecidos políticos em Perus e Vila Formosa
Theatro Municipal anuncia a temporada de óperas em 2014,A ópera "Il Trovatore" abre o calendário¢ que conta com peças como Carmen e Salomé. Assinaturas poderão ser adquiridas a partir de dezembro¢ com pacotes a preços acessíveis
São Paulo faz sua 5ª apresentação aos delegados da Expo 2020,Apresentação de São Paulo será a última antes da eleição da cidade-sede do evento. Capital concorre com Ekaterinburgo (Rússia)¢ Izmir (Turquia) e Dubai (Emirados Árabes)
Segurança em locais de reunião,Consulte os lugares que contam com alvará
FUMCAD Edital 2014,CMDCA abre o Edital 2014 para seleção de projetos que receberão recursos do FUMCAD
Consulta de Licitações,Acesse o sistema de pesquisa das compras/licitações realizadas pela Prefeitura
Plano Diretor,Acompanhe a gestão urbana de São Paulo
Prefeitura se reúne com empresários do extremo leste da cidade,Prefeita em exercício visitou instalações industriais e conversou com empresários dos jardins Palanque e Terceira Divisão sobre o novo Plano Diretor e o zoneamento da região
Prefeito lamenta acidente com as obras da Arena Corinthians,Haddad está em Paris¢ na eleição da cidade-sede da Expo 2020¢ e acompanha as informações em tempo real
Prefeitura testa ônibus a bateria que percorre 250 km com apenas uma recarga,Conhecido como E-Bus¢ o veículo não emite poluentes¢ é silencioso e não trepida. A partir de março¢ os ônibus a bateria integrarão a frota e transportarão passageiros em uma linha da Zona Sul
Prefeitura estuda viabilidade de projeto em Pirituba,Região pode ganhar um parque de exposições
Nota - Arena Corinthians,Prefeitura realizou todas as ações cabíveis à administração
Conferência debate políticas públicas para os imigrantes que vivem na Capital,1ª Conferência Municipal de Políticas para Imigrantes começa nesta sexta-feira e terá transmissão ao vivo pela internet
CAT possui cerca de 9 mil vagas de emprego,Entre as vagas ofertadas¢ mais de 1.800 oferecem salários superiores a R$ 1 mil
Vale do Anhangabaú terá grande encontro de cultura circense,Em sua 7ª edição¢ Palhaçaria Paulistana presta homenagem a mulheres palhaças¢ entre os dias 7 e 10 de dezembro
Dia Nacional do Samba terá shows e reconhecimento do gênero como patrimônio imaterial,Em comemoração ao Dia Nacional do Samba¢ a Secretaria Municipal de Cultura promoverá eventos como shows¢ encontros e seminários de discussão entre os dias 2 a 8 de dezembro. Ritmo será reconhecido como patrimônio histórico
Mais de 210 vias receberão a operação tapa buraco,Objetivo da ação é realizar reparos e melhorar a qualidade do asfalto. Somente este ano¢ mais de 360 mil buracos foram tapados na capital.
Mais de 140 vias receberão limpezas de bocas de lobo até segunda-feira,Serviço de manutenção das bocas de lobo¢ realizado manual e mecanicamente¢ tem o objetivo de garantir o escoamento da água e impedir que materiais sólidos¢ retidos durante as chuvas¢ obstruam a drenagem das águas.
Órgãos de controle debatem transparência e combate à corrupção,Em evento do Tribunal de Contas da União nesta sexta-feira (29)¢ o prefeito Fernando Haddad defendeu a importância da contribuição dos tribunais de contas e do trabalho de controladoria para a administração pública
Bilhete Único Mensal entra em operação neste sábado,De acordo com a SPTrans¢ até a manhã desta sexta-feira (29)¢ 155.833 pessoas solicitaram o Bilhete Único Mensal. Empresa tem como meta a entrega de 50 mil cartões antes do início das operações
Cidade ganhará mais 5¢4 quilômetros de faixas exclusivas para ônibus na segunda-feira,Com as novas vias¢ ‘Operação Dá Licença para o Ônibus’ atingirá a marca de 275¢1 quilômetros de vias segregadas para transporte coletivo inauguradas desde o início deste ano
Avenida São João terá shows gratuitos para comemorar Dia Nacional do Samba,‘Samba ao Meio Dia’ acontecerá todas as segundas-feiras de dezembro até o dia 16 e reunirá nomes como Belo¢ Pixote e Katinguelê. Na segunda (2)¢ ato reconhecerá samba urbano paulistano como patrimônio imaterial
CAT possui 922 vagas para profissionais com deficiência ou mobilidade reduzida,Remuneração varia de R$ 837 a R$ 5 mil. Salário mais alto é voltado a quatro vagas para desenhista projetista eletrônico e mecânico com nível superior completo ou em andamento
Secretaria promove 1º Festival de Direitos Humanos – Cidadania nas Ruas,Entre os dias 7 e 15 de dezembro¢ a Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC) realiza debates¢ oficinas¢ shows¢ intervenções artísticas¢ exibição de filmes¢ teatro de rua¢ em diversos pontos de São Paulo
Bibliotecas recebem mostra de filmes pelo fim da violência contra a mulher,Programação também promove leituras e debates sobre o tema
Natal Iluminado abre comemorações na cidade de São Paulo,Além da abertura do Natal Iluminado neste domingo (1) na Catedral da Sé¢ cidade terá outras ações nas 31 subprefeituras¢ árvore do Ibirapuera e o Reveillon na avenida Paulista
Prefeitura realiza jornada para emissão de 300 documentos para indígenas,Parceria entre a Prefeitura e o Governo do Estado garantiu a emissão de 300 documentos para indígenas da região
Bilhete Único Mensal entra em operação e recarga pode ser feita em 10 mil postos,Prefeito Haddad afirmou neste sábado (30) que o Bilhete Único Mensal ajudará na ocupação dos espaços públicos da cidade. De acordo com a SPTrans¢ até a manhã de sexta-feira (29) 155.833 pessoas solicitaram a nova modalidade de cartão
Cidadão já pode consultar local de votação para o Conselho Participativo Municipal,Munícipe já pode consultar pela internet locais de votação para a eleição do Conselho Participativo Municipal¢ que acontecerá no domingo (8). Pleito contará com 8¢7 mil urnas eletrônicas distribuídas nos 96 distritos. Estão inscritos 2.855 candidatos
Áreas verdes e ajardinadas receberão manutenção durante a semana,Entre os dias 02 e 07 de dezembro¢ praças e canteiros da cidade receberão serviços de conservação pelas equipes das Subprefeituras e SPUA
Córregos da cidade receberão limpeza durante a semana,Córregos Limoeiro¢ Poli e José Papaterra Limongi estão na programação de limpeza
Até a próxima quinta-feira¢ mais de 240 vias receberão a operação tapa buraco,Operação ocorre diariamente nos períodos diurno e noturno
Substituição e ativação de linhas na Zona Leste,Linha 407U-10 (Term. Cidade Tiradentes – Metrô Itaquera) será substituída pela linha 3789-10 (Cidade Tiradentes – Metrô Itaquera)
Nota - Operação Necator: situação dos servidores e cronograma de notificações,19 de novembro de 2013
Prefeitura lança Plano São Paulo Mais Inclusiva,Iniciativa integra mais de 70 ações para garantir às pessoas com deficiência acesso aos direitos¢ serviços e bens do município
Prefeitura vai oferecer Bilhete Único Mensal Integrado a servidores,Secretaria de Planejamento já trata da demanda. Benefício deve ser oferecido nos próximos dias
Prefeitura já notificou 40 empreendimentos para verificação de ISS,Previsão é de que mais 24 sejam convocados até 6ª feira desta semana
Equipes de 7 Subprefeituras realizarão reformas de guias e sarjetas,Mecanismo implantado faz com que água proveniente das chuvas tem uma destinação correta até a boca de lobo mais próxima¢ desta forma¢ evita pontos de alagamentos.
Incentivo Fiscal para a Zona Leste,A adesão ao programa será aberta em fevereiro e poderá ser feita online
Mais de 150 vias receberão limpezas de bocas de lobo até quinta-feira,Serviço de manutenção das bocas de lobo¢ realizado manual e mecanicamente¢ tem o objetivo de garantir o escoamento da água e impedir que materiais sólidos¢ retidos durante as chuvas¢ obstruam a drenagem das águas.
SP Terceira Idade,Roteiro Turístico
SP a pé,Roteiro Turístico
SP Acessível,Roteiro Turístico
30 programas imperdíveis para conhecer a metrópole,Gastronomia¢ turismo e história na capital paulista
CAT oferece mais de 3 mil vagas em cargos de apoio com salários de até R$ 1.800,Entre as vagas¢ há oportunidades para auxiliar de limpeza¢ ajudante de farmácia¢ atendente de restaurante e auxiliar de enfermagem
Prefeito diz que empresas serão chamadas para prestar esclarecimentos sobre esquema de corrupção,Empresas envolvidas no esquema de corrupção serão chamadas para dar explicações à Justiça e Grupo de Trabalho será criado pela Secretaria Municipal de Finanças para averiguar o recolhimento de ISS pelas organizações envolvidas
SPCine é criada para o desenvolvimento do audiovisual em São Paulo,A Prefeitura lançou nesta quinta-feira (31) a Empresa de Cinema e Audiovisual de São Paulo (SPCine). Projeto foi entregue à Câmara Municipal e prevê investimentos em produção e distribuição de produtos audiovisuais¢ além de formação profissional no s
Veja o que abre e o que fecha no feriado de Finados,No próximo sábado (2)¢ feriado do Dia de Finados¢ alguns dos serviços públicos municipais oferecidos à população seguirão um esquema especial
CAT anuncia vagas para profissionais com deficiência ou mobilidade reduzida com salários de até R$ 1¢6 mil,Os interessados podem comparecer a uma unidade do CAT. É necessária a apresentação de laudo médico.
Operação Cata-Bagulho atende Subprefeituras excepcionalmente nesta sexta-feira devido ao feriado,A ação tem como finalidade recolher materiais sem utilidade como móveis velhos¢ pedaços de madeira e metal¢ eletrodomésticos quebrados¢ entre outros.
Novo decreto agilizará licenciamento de obras para moradias de interesse social,Desde o início do ano¢ 6.484 uhs de habitação de interesse social foram licenciadas¢ número cinco vezes maior que no ano passado. Análises de projetos tem prazos mais curtos e novo decreto compatibilizará legislação com Minha Casa Minha Vida
São Paulo terá 300 km de faixas exclusivas até dezembro,Com a conclusão dos 220 km previstos no início de outubro¢ a Prefeitura anunciou a ampliação das faixas para 300 km até o fim deste ano. Ação possibilitou aumento de 48¢1% na velocidade média dos coletivos
Representado por São Paulo¢ Brasil atinge melhor posição da história no Doing Business,Após criação da agência São Paulo Negócios¢ a capital ganhou duas premiações internacionais no setor de competitividade econômica. Resultados ajudaram Brasil a atingir a melhor colocação no recém-lançado ranking Doing Business 2014¢ desde sua criação
Quatro auditores fiscais são presos em operação que desvendou esquema milionário de corrupção na Prefeitura,Operação foi realizada em conjunto entre Prefeitura e Ministério Público do Estado (MPE). Estima-se que ação da organização criminosa presa hoje tenha causado prejuízo superior a R$ 200 milhões para os cofres do Município
São Paulo Carinhosa promove palestra sobre Pesquisa Nacional de Saúde Escolar,Ministério da Saúde apresentou pesquisa feita com jovens de 10 a 19 anos¢ questionados sobre os principais problemas voltados a adolescência
São Paulo adere ao Programa de Aquisição de Alimentos do Governo Federal,Adesão foi anunciada na manhã desta terça-feira (29)¢ no Banco de Alimentos da Cidade de São Paulo. Medida beneficiará populações em situação de vulnerabilidade e também pequenos agricultores da cidade e do Estado
Aplicativos para transporte coletivo são premiados em Hackatona do Ônibus,Após a inscrição de 58 equipes e 15 selecionadas para a Hackatona do Ônibus¢ três aplicativos voltados para o transporte coletivo venceram a competição e receberam premiações entre R$ 8 mil a R$ 3 mil
